source_id	title	url	normalized_url	source_format	source_type	resource_type	publisher	organization_id	collection_hint	evidence_role	topic_tags	audience	language	link_check_status	ingest_status	ingest_priority	source_status	duplicate_group_id	notes	source_context	duplicate_count	duplicate_merged	merged_titles	collection_hints	source_types_seen	resource_types_seen	publishers_seen	organizations_seen	source_contexts	registry_schema_version	registry_role	user_facing_knowledge	recommended_pipeline	dedupe_key
eesti_puuetega_inimeste_koda_eesti_puuetega_inimeste_koda_epikoda	Eesti Puuetega Inimeste Koda (EPIKoda)	https://epikoda.ee/	https://epikoda.ee/	html	organization_profile	organization_page	Eesti Puuetega Inimeste Koda	eesti_puuetega_inimeste_koda	organizations	organization_background	"[""Katusorganisatsioonid ja kojad"", ""puue""]"	BOTH	et	"[""OK""]"	referenced_only	low	known			"{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": null, ""heading_4"": null, ""line"": 9, ""order"": 1}"	0	False	"[""Eesti Puuetega Inimeste Koda (EPIKoda)""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Eesti Puuetega Inimeste Koda""]"	"[""eesti_puuetega_inimeste_koda""]"	"[{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""line"": 9, ""order"": 1}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://epikoda.ee/
eesti_puuetega_inimeste_koda_epikoja_liikmed	EPIKoja liikmed	https://epikoda.ee/epikoja-liikmed/	https://epikoda.ee/epikoja-liikmed	html	organization_profile	organization_page	Eesti Puuetega Inimeste Koda	eesti_puuetega_inimeste_koda	organizations	organization_background	"[""Katusorganisatsioonid ja kojad""]"	BOTH	et	"[""OK""]"	referenced_only	low	known			"{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": null, ""heading_4"": null, ""line"": 10, ""order"": 2}"	0	False	"[""EPIKoja liikmed""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Eesti Puuetega Inimeste Koda""]"	"[""eesti_puuetega_inimeste_koda""]"	"[{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""line"": 10, ""order"": 2}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://epikoda.ee/epikoja-liikmed
eesti_puuetega_inimeste_koda_epikoja_vorgustiku_kontaktid	EPIKoja võrgustiku kontaktid	https://epikoda.ee/epikoja-liikmed/koja-liikmed/	https://epikoda.ee/epikoja-liikmed/koja-liikmed	html	organization_profile	organization_page	Eesti Puuetega Inimeste Koda	eesti_puuetega_inimeste_koda	organizations	organization_background	"[""Katusorganisatsioonid ja kojad""]"	BOTH	et	"[""OK""]"	referenced_only	low	known			"{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": null, ""heading_4"": null, ""line"": 11, ""order"": 3}"	0	False	"[""EPIKoja võrgustiku kontaktid""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Eesti Puuetega Inimeste Koda""]"	"[""eesti_puuetega_inimeste_koda""]"	"[{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""line"": 11, ""order"": 3}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://epikoda.ee/epikoja-liikmed/koja-liikmed
1_katusorganisatsioonid_ja_kojad_tallinna_puuetega_inimeste_koda	Tallinna Puuetega Inimeste Koda	https://tallinnakoda.ee/	https://tallinnakoda.ee/	html	organization_profile	organization_page	1) Katusorganisatsioonid ja kojad	1_katusorganisatsioonid_ja_kojad	organizations	organization_background	"[""Katusorganisatsioonid ja kojad"", ""puue""]"	BOTH	et	"[""OK""]"	referenced_only	low	known			"{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": null, ""heading_4"": null, ""line"": 12, ""order"": 4}"	0	False	"[""Tallinna Puuetega Inimeste Koda""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""1) Katusorganisatsioonid ja kojad""]"	"[""1_katusorganisatsioonid_ja_kojad""]"	"[{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""line"": 12, ""order"": 4}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://tallinnakoda.ee/
1_katusorganisatsioonid_ja_kojad_tallinna_koja_liikmesuhingud	Tallinna Koja liikmesühingud	https://tallinnakoda.ee/liikmesuhingud/	https://tallinnakoda.ee/liikmesuhingud	html	organization_profile	organization_page	1) Katusorganisatsioonid ja kojad	1_katusorganisatsioonid_ja_kojad	organizations	organization_background	"[""Katusorganisatsioonid ja kojad""]"	BOTH	et	"[""OK""]"	referenced_only	low	known			"{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": null, ""heading_4"": null, ""line"": 13, ""order"": 5}"	0	False	"[""Tallinna Koja liikmesühingud""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""1) Katusorganisatsioonid ja kojad""]"	"[""1_katusorganisatsioonid_ja_kojad""]"	"[{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""line"": 13, ""order"": 5}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://tallinnakoda.ee/liikmesuhingud
1_katusorganisatsioonid_ja_kojad_eesti_puuetega_inimeste_fond	Eesti Puuetega Inimeste Fond	https://www.epifond.ee/	https://www.epifond.ee/	html	organization_profile	organization_page	1) Katusorganisatsioonid ja kojad	1_katusorganisatsioonid_ja_kojad	organizations	organization_background	"[""Katusorganisatsioonid ja kojad"", ""puue""]"	BOTH	et	"[""OK""]"	referenced_only	low	known			"{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": null, ""heading_4"": null, ""line"": 14, ""order"": 6}"	0	False	"[""Eesti Puuetega Inimeste Fond""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""1) Katusorganisatsioonid ja kojad""]"	"[""1_katusorganisatsioonid_ja_kojad""]"	"[{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""line"": 14, ""order"": 6}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://www.epifond.ee/
maakondlikud_kojad_tartu_puuetega_inimeste_koda	Tartu Puuetega Inimeste Koda	https://tartukoda.ee/	https://tartukoda.ee/	html	organization_profile	organization_page	Maakondlikud kojad	maakondlikud_kojad	organizations	organization_background	"[""Katusorganisatsioonid ja kojad"", ""Maakondlikud kojad"", ""puue""]"	BOTH	et	"[""OK""]"	referenced_only	low	known			"{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""heading_4"": null, ""line"": 17, ""order"": 7}"	0	False	"[""Tartu Puuetega Inimeste Koda""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Maakondlikud kojad""]"	"[""maakondlikud_kojad""]"	"[{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""line"": 17, ""order"": 7}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://tartukoda.ee/
maakondlikud_kojad_parnumaa_puuetega_inimeste_koda	Pärnumaa Puuetega Inimeste Koda	https://xn--prnukoda-0za.ee/	https://xn--prnukoda-0za.ee/	html	organization_profile	organization_page	Maakondlikud kojad	maakondlikud_kojad	organizations	organization_background	"[""Katusorganisatsioonid ja kojad"", ""Maakondlikud kojad"", ""puue""]"	BOTH	et	"[""OK"", ""Corrected""]"	referenced_only	low	known			"{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""heading_4"": null, ""line"": 18, ""order"": 8}"	0	False	"[""Pärnumaa Puuetega Inimeste Koda""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Maakondlikud kojad""]"	"[""maakondlikud_kojad""]"	"[{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""line"": 18, ""order"": 8}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://xn--prnukoda-0za.ee/
maakondlikud_kojad_ida_virumaa_puuetega_inimeste_koda	Ida-Virumaa Puuetega Inimeste Koda	https://www.erivajadus.ee/	https://www.erivajadus.ee/	html	organization_profile	organization_page	Maakondlikud kojad	maakondlikud_kojad	organizations	organization_background	"[""Katusorganisatsioonid ja kojad"", ""Maakondlikud kojad"", ""puue""]"	BOTH	et	"[""Redirect""]"	referenced_only	low	known			"{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""heading_4"": null, ""line"": 19, ""order"": 9}"	0	False	"[""Ida-Virumaa Puuetega Inimeste Koda""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Maakondlikud kojad""]"	"[""maakondlikud_kojad""]"	"[{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""line"": 19, ""order"": 9}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://www.erivajadus.ee/
maakondlikud_kojad_laane_virumaa_puuetega_inimeste_koda	Lääne-Virumaa Puuetega Inimeste Koda	https://www.virukoda.ee/	https://www.virukoda.ee/	html	organization_profile	organization_page	Maakondlikud kojad	maakondlikud_kojad	organizations	organization_background	"[""Katusorganisatsioonid ja kojad"", ""Maakondlikud kojad"", ""puue""]"	BOTH	et	"[""OK""]"	referenced_only	low	known			"{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""heading_4"": null, ""line"": 20, ""order"": 10}"	0	False	"[""Lääne-Virumaa Puuetega Inimeste Koda""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Maakondlikud kojad""]"	"[""maakondlikud_kojad""]"	"[{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""line"": 20, ""order"": 10}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://www.virukoda.ee/
