"category","severity","id","title","format","url","server_status","local_status","details"
"CONFIRMED_MISSING_LOCAL","high","national-rt-130122025029","Sotsiaalhoolekande seadus","TEXT","https://www.riigiteataja.ee/akt/130122025029","PRESENT","NOT_FOUND","none"
"CONFIRMED_MISSING_LOCAL","high","kov::maardu-linn::item::maardu_linn_form_sunnitoetuse_avaldus","Sünnitoetuse avaldus","TEXT","https://maardu.ee/valdkonna-blanketid","PRESENT","NOT_FOUND","none"
"LOCAL_METADATA_ONLY","high","kov::maardu-linn::item::maardu_linn_resource_abivahendite_info","Abivahendite taotlemise info","TEXT","https://maardu.ee/abivahendi-taotlemine","PRESENT","LOCAL_METADATA_ONLY","normalized_url_without_local_source_content; docs/Andmebaas/KOV/maardu-linn/maardu-linn.json | docs/Andmebaas/KOV/maardu-linn/maardu-linn.sources.json"
"LOCAL_METADATA_ONLY","high","kov::maardu-linn::item::maardu_linn_form_eestkoste_taotlus","Eestkoste seadmise taotlus","TEXT","https://maardu.ee/eestkoste-seadmine","PRESENT","LOCAL_METADATA_ONLY","normalized_url_without_local_source_content; docs/Andmebaas/KOV/maardu-linn/maardu-linn.json | docs/Andmebaas/KOV/maardu-linn/maardu-linn.sources.json"
"LOCAL_METADATA_ONLY","high","kov::maardu-linn::item::maardu_linn_form_eluruumi_teenuse_taotlus","Eluruumi teenuse taotlus","TEXT","https://maardu.ee/sotsiaaleluasemeteenus","PRESENT","LOCAL_METADATA_ONLY","normalized_url_without_local_source_content; docs/Andmebaas/KOV/maardu-linn/maardu-linn.json | docs/Andmebaas/KOV/maardu-linn/maardu-linn.sources.json"
"LOCAL_METADATA_ONLY","high","kov::maardu-linn::item::maardu_linn_form_koduteenuse_taotlus","Koduteenuse taotluse vorm","TEXT","https://maardu.ee/koduteenus","PRESENT","LOCAL_METADATA_ONLY","normalized_url_without_local_source_content; docs/Andmebaas/KOV/maardu-linn/maardu-linn.json | docs/Andmebaas/KOV/maardu-linn/maardu-linn.sources.json"
"LOCAL_METADATA_ONLY","high","kov::maardu-linn::item::maardu_linn_form_lapsehoiutoetuse_taotlus","Lapsehoiutoetuse taotlus","TEXT","https://maardu.ee/lapsehoiutoetus","PRESENT","LOCAL_METADATA_ONLY","normalized_url_without_local_source_content; docs/Andmebaas/KOV/maardu-linn/maardu-linn.json | docs/Andmebaas/KOV/maardu-linn/maardu-linn.sources.json"
"LOCAL_METADATA_ONLY","high","kov::maardu-linn::item::maardu_linn_benefit_raske_ja_sugava_puudega_laste_teenuste_toetus","Raske ja sügava puudega laste toetavad teenused","TEXT","https://maardu.ee/puudega-lapse-lapsehoiuteenus","PRESENT","LOCAL_METADATA_ONLY","normalized_url_without_local_source_content; docs/Andmebaas/KOV/maardu-linn/maardu-linn.json | docs/Andmebaas/KOV/maardu-linn/maardu-linn.sources.json"
"LOCAL_METADATA_ONLY","high","kov::maardu-linn::item::maardu_linn_form_sotsiaalteenuse_taotlus","Sotsiaalteenuse taotlus","TEXT","https://maardu.ee/isikliku-abistaja-teenus","PRESENT","LOCAL_METADATA_ONLY","normalized_url_without_local_source_content; docs/Andmebaas/KOV/maardu-linn/maardu-linn.json | docs/Andmebaas/KOV/maardu-linn/maardu-linn.sources.json"
"LOCAL_METADATA_ONLY","high","kov::maardu-linn::item::maardu_linn_form_raske_sugava_puudega_lapse_teenuse_taotlus","Taotlus raske ja sügava puudega lapsele teenuse osutamiseks","TEXT","https://maardu.ee/puudega-lapse-lapsehoiuteenus","PRESENT","LOCAL_METADATA_ONLY","normalized_url_without_local_source_content; docs/Andmebaas/KOV/maardu-linn/maardu-linn.json | docs/Andmebaas/KOV/maardu-linn/maardu-linn.sources.json"
