"route_pattern","page_file","direct_imports","api_refs","action_imports","scan_status"
"/","app/page.js","@/lib/i18n; @/lib/metadata","","","static_import_scan"
"/admin/analytics","app/admin/analytics/page.jsx","@/auth; @/lib/i18n/serverMessages; @/lib/i18n; @/lib/localizePath; ./AdminAnalyticsClient; @/components/admin/rag/ragAdminShellStyles","","@/lib/i18n/serverMessages","static_import_scan"
"/admin/framework-acceptances","app/admin/framework-acceptances/page.jsx","@/auth; @/lib/i18n; @/lib/i18n/serverMessages; @/lib/localizePath; ./AdminFrameworkAcceptancesClient","","@/lib/i18n/serverMessages","static_import_scan"
"/admin/mentorlus","app/admin/mentorlus/page.jsx","@/auth; @/lib/i18n; @/lib/localizePath; @/components/mentoring/AdminMentoringPage","","","static_import_scan"
"/admin/rag","app/admin/rag/page.jsx","@/lib/i18n/serverMessages; @/components/admin/rag/RagAdminLandingWorkspace; ./pageHelpers","","@/lib/i18n/serverMessages","static_import_scan"
"/admin/rag/documents","app/admin/rag/documents/page.jsx","@/lib/i18n/serverMessages; @/components/admin/rag/RagAdminDocumentsScreen; @/components/admin/rag/RagAdminPageFrame; @/components/admin/rag/ragAdminCopy; ../pageHelpers","","@/lib/i18n/serverMessages","static_import_scan"
"/admin/rag/ingest","app/admin/rag/ingest/page.jsx","@/lib/i18n/serverMessages; @/components/admin/rag/RagAdminIngestScreen; @/components/admin/rag/RagAdminPageFrame; @/components/admin/rag/ragAdminCopy; ../pageHelpers","","@/lib/i18n/serverMessages","static_import_scan"
"/admin/rag/kov","app/admin/rag/kov/page.jsx","@/lib/i18n/serverMessages; @/components/admin/rag/RagAdminKovView; @/components/admin/rag/RagAdminPageFrame; @/components/admin/rag/ragAdminCopy; @/lib/admin/rag/kov/service; ../pageHelpers","","@/lib/i18n/serverMessages","static_import_scan"
"/admin/rag/organizations","app/admin/rag/organizations/page.jsx","@/lib/i18n/serverMessages; @/components/admin/rag/RagAdminOrganizationsView; @/components/admin/rag/RagAdminPageFrame; @/components/admin/rag/ragAdminCopy; @/lib/admin/rag/organizations/service; ../pageHelpers","","@/lib/i18n/serverMessages","static_import_scan"
"/admin/rag/source-feedback","app/admin/rag/source-feedback/page.jsx","@/components/admin/rag/RagAdminPageFrame; @/components/admin/rag/RagAdminSourceFeedbackScreen; @/components/admin/rag/ragAdminCopy; ../pageHelpers","","","static_import_scan"
"/admin/rag/source-packages","app/admin/rag/source-packages/page.jsx","@/lib/i18n/serverMessages; @/components/admin/rag/RagAdminPageFrame; @/components/admin/rag/RagAdminSourcePackagesScreen; @/components/admin/rag/ragAdminCopy; ../pageHelpers","","@/lib/i18n/serverMessages","static_import_scan"
"/admin/service-availability","app/admin/service-availability/page.jsx","@/auth; @/components/admin/rag/ragAdminShellStyles; @/lib/i18n; @/lib/localizePath; ./AdminServiceAvailabilityClient","","","static_import_scan"
"/admin/urgent-desks","app/admin/urgent-desks/page.jsx","@/auth; @/components/admin/rag/ragAdminShellStyles; @/lib/i18n; @/lib/localizePath; ./AdminUrgentDesksClient","","","static_import_scan"
"/admin/wellbeing","app/admin/wellbeing/page.jsx","@/auth; @/components/admin/rag/ragAdminShellStyles; @/lib/i18n; @/lib/localizePath; ./AdminWellbeingClient","","","static_import_scan"
"/autorilt","app/autorilt/page.jsx","@/components/alalehed/AutoriltBody; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/documents","app/documents/page.js","@/auth; @/components/documents/DocumentsPage; @/components/ui/SubscriptionReadOnlyBanner; @/lib/authz; @/lib/i18n; @/lib/metadata; @/lib/localizePath","","","static_import_scan"
"/documents/artifacts/:id","app/documents/artifacts/[id]/page.js","@/auth; @/components/documents/ArtifactDetailPage; @/components/ui/SubscriptionReadOnlyBanner; @/lib/authz; @/lib/i18n; @/lib/localizePath; @/lib/metadata","","","static_import_scan"
"/dokreziim","app/dokreziim/page.js","@/auth; @/components/agent/AgentModePage; @/components/ui/SubscriptionReadOnlyBanner; @/lib/authz; @/lib/i18n; @/lib/localizePath; @/lib/metadata","","","static_import_scan"
"/eelpoordumised","app/eelpoordumised/page.jsx","@/components/workspace/WorkspaceFeaturePage; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/hinnastus","app/hinnastus/page.jsx","@/components/alalehed/HinnastusBody; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/join","app/join/page.jsx","@/components/i18n/I18nProvider; @/components/ui/Button; @/components/ui/Input; @/components/ui/Form; @/components/LoginModal; @/lib/localizePath; @/lib/routeTransition; @/lib/i18n/resolveApiMessage; ./join.module.css","/api/invites/pending","","static_import_scan"
"/juhtumid","app/juhtumid/page.jsx","@/components/casework/CaseWorkShell; @/lib/casework/flags; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/kasutusjuhend","app/kasutusjuhend/page.jsx","@/components/alalehed/KasutusjuhendBody; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/kasutustingimused","app/kasutustingimused/page.js","@/components/alalehed/KasutustingimusedBody; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/kiireloomuline-abi","app/kiireloomuline-abi/page.jsx","@/components/urgent/UrgentRequestForm; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/kovisioon","app/kovisioon/page.jsx","@/auth; @/components/covision/CovisionPage; @/lib/covision; @/lib/i18n; @/lib/localizePath; @/lib/metadata","","","static_import_scan"
"/logo-eksport","app/logo-eksport/page.jsx","@/components/brand/LogoExportStage; @/lib/i18n","","","static_import_scan"
"/lopetatud-juhtumid","app/lopetatud-juhtumid/page.jsx","@/auth; @/components/covision/CompletedCasesPage; @/lib/covision; @/lib/i18n; @/lib/localizePath; @/lib/metadata","","","static_import_scan"
"/materjalid","app/materjalid/page.js","@/components/materials/MaterialsPage; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/meist","app/meist/page.jsx","@/components/alalehed/MeistBody; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/mentorlus","app/mentorlus/page.jsx","@/components/mentoring/MentoringHomePage; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/mentorlus/mentor/:profileId","app/mentorlus/mentor/[profileId]/page.jsx","@/components/mentoring/MentorProfilePublicPage; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/mentorlus/profiil","app/mentorlus/profiil/page.jsx","@/components/mentoring/MyMentorProfilePage; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/mentorlus/suhe/:relationId","app/mentorlus/suhe/[relationId]/page.jsx","@/components/mentoring/MentoringRelationPage; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/minu-jagamised","app/minu-jagamised/page.jsx","@/components/sharings/MySharingsPage; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/org","app/org/page.jsx","@/lib/org/organizations; @/lib/org/inviteService; @/lib/org/flags; ./OrgHomeClient; ./_serverContext","","./_serverContext","static_import_scan"
"/org/:orgId","app/org/[orgId]/page.jsx","@/components/org/OrgOverviewClient; ../_serverContext","","../_serverContext","static_import_scan"
"/org/:orgId/aruanded","app/org/[orgId]/aruanded/page.jsx","@/components/org/OrgServiceReportsClient; @/lib/serviceLog/flags; @/lib/serviceLog/reportShare; ../../_serverContext","","../../_serverContext","static_import_scan"
