"route_pattern","page_file","feature_group","candidate_function_scope","mapping_status","sol_verification"
"/admin/analytics","app/admin/analytics/page.jsx","admin ja haldus","admini haldus-, analüütika- ja RAG-vaated","candidate_from_route","not_source_verified"
"/admin/framework-acceptances","app/admin/framework-acceptances/page.jsx","admin ja haldus","admini haldus-, analüütika- ja RAG-vaated","candidate_from_route","not_source_verified"
"/admin/mentorlus","app/admin/mentorlus/page.jsx","admin ja haldus","admini haldus-, analüütika- ja RAG-vaated","candidate_from_route","not_source_verified"
"/admin/rag","app/admin/rag/page.jsx","admin ja haldus","admini haldus-, analüütika- ja RAG-vaated","candidate_from_route","not_source_verified"
"/admin/rag/documents","app/admin/rag/documents/page.jsx","admin ja haldus","admini haldus-, analüütika- ja RAG-vaated","candidate_from_route","not_source_verified"
"/admin/rag/ingest","app/admin/rag/ingest/page.jsx","admin ja haldus","admini haldus-, analüütika- ja RAG-vaated","candidate_from_route","not_source_verified"
"/admin/rag/kov","app/admin/rag/kov/page.jsx","admin ja haldus","admini haldus-, analüütika- ja RAG-vaated","candidate_from_route","not_source_verified"
"/admin/rag/organizations","app/admin/rag/organizations/page.jsx","admin ja haldus","admini haldus-, analüütika- ja RAG-vaated","candidate_from_route","not_source_verified"
"/admin/rag/source-feedback","app/admin/rag/source-feedback/page.jsx","admin ja haldus","admini haldus-, analüütika- ja RAG-vaated","candidate_from_route","not_source_verified"
"/admin/rag/source-packages","app/admin/rag/source-packages/page.jsx","admin ja haldus","admini haldus-, analüütika- ja RAG-vaated","candidate_from_route","not_source_verified"
"/admin/service-availability","app/admin/service-availability/page.jsx","admin ja haldus","admini haldus-, analüütika- ja RAG-vaated","candidate_from_route","not_source_verified"
"/admin/urgent-desks","app/admin/urgent-desks/page.jsx","admin ja haldus","admini haldus-, analüütika- ja RAG-vaated","candidate_from_route","not_source_verified"
"/admin/wellbeing","app/admin/wellbeing/page.jsx","admin ja haldus","admini haldus-, analüütika- ja RAG-vaated","candidate_from_route","not_source_verified"
"/join","app/join/page.jsx","autentimine","registreerimine, liitumine ja parooli taastamine","candidate_from_route","not_source_verified"
"/registreerimine","app/registreerimine/page.js","autentimine","registreerimine, liitumine ja parooli taastamine","candidate_from_route","not_source_verified"
"/taasta-parool","app/taasta-parool/page.jsx","autentimine","registreerimine, liitumine ja parooli taastamine","candidate_from_route","not_source_verified"
"/taasta-parool/:token","app/taasta-parool/[token]/page.jsx","autentimine","registreerimine, liitumine ja parooli taastamine","candidate_from_route","not_source_verified"
"/autorilt","app/autorilt/page.jsx","avalik info ja õigus","avalik info, juhendid ja tingimused","candidate_from_route","not_source_verified"
"/kasutusjuhend","app/kasutusjuhend/page.jsx","avalik info ja õigus","avalik info, juhendid ja tingimused","candidate_from_route","not_source_verified"
"/kasutustingimused","app/kasutustingimused/page.js","avalik info ja õigus","avalik info, juhendid ja tingimused","candidate_from_route","not_source_verified"
"/meist","app/meist/page.jsx","avalik info ja õigus","avalik info, juhendid ja tingimused","candidate_from_route","not_source_verified"
"/privaatsustingimused","app/privaatsustingimused/page.js","avalik info ja õigus","avalik info, juhendid ja tingimused","candidate_from_route","not_source_verified"
"/","app/page.js","avalik sisenemine","platvormi avalik sisenemine ja põhifunktsioonide avamine","candidate_from_route","not_source_verified"
"/documents","app/documents/page.js","dokumendid ja artefaktid","dokumentide hoidla, analüüs ja artefaktide töövood","candidate_from_route","not_source_verified"
"/documents/artifacts/:id","app/documents/artifacts/[id]/page.js","dokumendid ja artefaktid","dokumentide hoidla, analüüs ja artefaktide töövood","candidate_from_route","not_source_verified"
"/eelpoordumised","app/eelpoordumised/page.jsx","eelpöördumised","eelpöördumise loomine, ettevalmistus ja vastuvõtt","candidate_from_route","not_source_verified"
"/juhtumid","app/juhtumid/page.jsx","juhtumitöö ja kiire abi","juhtumite ja kiireloomulise abi töövood","candidate_from_route","not_source_verified"
"/kiireloomuline-abi","app/kiireloomuline-abi/page.jsx","juhtumitöö ja kiire abi","juhtumite ja kiireloomulise abi töövood","candidate_from_route","not_source_verified"
"/lopetatud-juhtumid","app/lopetatud-juhtumid/page.jsx","juhtumitöö ja kiire abi","juhtumite ja kiireloomulise abi töövood","candidate_from_route","not_source_verified"
"/minu-jagamised","app/minu-jagamised/page.jsx","konto ja jagamised","konto, turvaseaded, jagamised ja ligipääsud","candidate_from_route","not_source_verified"
"/profiil","app/profiil/page.js","konto ja jagamised","konto, turvaseaded, jagamised ja ligipääsud","candidate_from_route","not_source_verified"
"/uuenda-epost","app/uuenda-epost/page.js","konto ja jagamised","konto, turvaseaded, jagamised ja ligipääsud","candidate_from_route","not_source_verified"
"/uuenda-pin","app/uuenda-pin/page.js","konto ja jagamised","konto, turvaseaded, jagamised ja ligipääsud","candidate_from_route","not_source_verified"
"/kovisioon","app/kovisioon/page.jsx","kovisioon","juhtumipõhine kovisiooni töövoog","candidate_from_route","not_source_verified"
"/mentorlus","app/mentorlus/page.jsx","mentorlus","mentori profiil, suhted, kohtumised ja märkmed","candidate_from_route","not_source_verified"
"/mentorlus/mentor/:profileId","app/mentorlus/mentor/[profileId]/page.jsx","mentorlus","mentori profiil, suhted, kohtumised ja märkmed","candidate_from_route","not_source_verified"
"/mentorlus/profiil","app/mentorlus/profiil/page.jsx","mentorlus","mentori profiil, suhted, kohtumised ja märkmed","candidate_from_route","not_source_verified"
"/mentorlus/suhe/:relationId","app/mentorlus/suhe/[relationId]/page.jsx","mentorlus","mentori profiil, suhted, kohtumised ja märkmed","candidate_from_route","not_source_verified"
