"surface_type","router","route_pattern","file","route_group","dynamic_params","premap_status"
"boundary","app-router","/","app/error.jsx","root","","inventory_only"
"layout","app-router","/","app/layout.js","root","","inventory_only"
"boundary","app-router","/","app/loading.jsx","root","","inventory_only"
"page","app-router","/","app/page.js","root","","inventory_only"
"page","app-router","/admin/analytics","app/admin/analytics/page.jsx","admin","","inventory_only"
"page","app-router","/admin/framework-acceptances","app/admin/framework-acceptances/page.jsx","admin","","inventory_only"
"page","app-router","/admin/mentorlus","app/admin/mentorlus/page.jsx","admin","","inventory_only"
"page","app-router","/admin/rag","app/admin/rag/page.jsx","admin","","inventory_only"
"page","app-router","/admin/rag/documents","app/admin/rag/documents/page.jsx","admin","","inventory_only"
"page","app-router","/admin/rag/ingest","app/admin/rag/ingest/page.jsx","admin","","inventory_only"
"page","app-router","/admin/rag/kov","app/admin/rag/kov/page.jsx","admin","","inventory_only"
"page","app-router","/admin/rag/organizations","app/admin/rag/organizations/page.jsx","admin","","inventory_only"
"page","app-router","/admin/rag/source-feedback","app/admin/rag/source-feedback/page.jsx","admin","","inventory_only"
"page","app-router","/admin/rag/source-packages","app/admin/rag/source-packages/page.jsx","admin","","inventory_only"
"page","app-router","/admin/service-availability","app/admin/service-availability/page.jsx","admin","","inventory_only"
"page","app-router","/admin/urgent-desks","app/admin/urgent-desks/page.jsx","admin","","inventory_only"
"page","app-router","/admin/wellbeing","app/admin/wellbeing/page.jsx","admin","","inventory_only"
"api-route","app-router","/api/admin/analytics/ai-costs","app/api/admin/analytics/ai-costs/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/analytics/events","app/api/admin/analytics/events/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/analytics/payment-alerts/dispatch","app/api/admin/analytics/payment-alerts/dispatch/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/analytics/reset","app/api/admin/analytics/reset/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/analytics/summary","app/api/admin/analytics/summary/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/analytics/users","app/api/admin/analytics/users/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/framework-acceptances","app/api/admin/framework-acceptances/route.js","admin","","inventory_only"
