token,layer,definitions,distinctValues,usages,files,values
--btn-primary-bg,component-or-semantic,33,19,37,app/styles/features/chat/hc.css | app/styles/features/chat/mono.css | app/styles/features/chat/shell.css | app/styles/features/chat/themes.css | app/styles/features/documents/ui.css | app/styles/shared/register.css | app/styles/shared/ui-glow.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css | app/styles/tokens.css | components/covision/CovisionPage.module.css | components/ui/BorderGlow.module.css,"radial-gradient( 82% 66% at 50% -14%, rgba(222, 236, 255, 0.108) 0%, rgba(222, 236, 255, 0.048) 42%, rgba(222, 236, 255, 0.016) 58%, rgba(222, 236, 255, 0) 74% ), linear-gradient( 180deg, rgba(26, 35, 49, 0.92) 0%, rgba(16, 25, 39, 0.94) 100% ) | var(--mono-orbit-surface) !important | var(--btn-primary-bg-hover) | var(--btn-primary-bg-active) | radial-gradient( ellipse at top, rgba(46, 52, 62, 0.64) 0%, rgba(23, 27, 34, 0.76) 100% ) | rgba(14, 20, 32, 0.42) | rgba(255, 234, 0, 0.1) | rgba(255, 234, 0, 0.1) !important | radial-gradient( 82% 66% at 50% -14%, rgba(var(--dark-white-rgb), 0.118) 0%, rgba(var(--dark-white-rgb), 0.048) 42%, rgba(var(--dark-white-rgb), 0.015) 58%, rgba(var(--dark-white-rgb), 0) 74% ), linear-gradient( 180deg, rgba(40, 44, 53, 0.92) 0%, rgba(25, 29, 37, 0.94) 100% ) | radial-gradient( 82% 66% at 50% -14%, rgba(var(--dark-white-rgb), 0.11) 0%, rgba(var(--dark-white-rgb), 0.045) 42%, rgba(var(--dark-white-rgb), 0.014) 58%, rgba(var(--dark-white-rgb), 0) 74% ), linear-gradient( 180deg, rgba(38, 42, 50, 0.92) 0%, rgba(23, 26, 34, 0.94) 100% ) | rgba(var(--hc-accent-rgb), 0.1) | rgba(9, 14, 24, 0.74) | var(--hc-control-bg) | transparent | radial-gradient( 82% 66% at 50% 16%, rgba(253, 252, 251, 0.992) 0%, rgba(252, 251, 250, 0.99) 42%, rgba(251, 250, 249, 0.976) 58%, rgba(249, 247, 246, 0.948) 74% ), linear-gradient( 180deg, rgba(252, 251, 250, 0.992) 0%, rgba(249, 248, 247, 0.978) 100% ) | var(--mid-unified-surface-bg) | var(--mono-orbit-surface) | radial-gradient( 84% 72% at 50% -6%, rgba(255, 255, 255, 0.05) 0%, rgba(255, 255, 255, 0.022) 40%, rgba(255, 255, 255, 0.008) 56%, rgba(255, 255, 255, 0.0025) 70%, rgba(255, 255, 255, 0.0012) 82%, rgba(255, 255, 255, 0) 92% ), linear-gradient( 180deg, rgba(32, 34, 40, 0.9) 0%, rgba(18, 20, 25, 0.94) 100% ) | var(--hc-bg, #090a0f)"
--subpage-card-bg,component-or-semantic,34,18,64,app/styles/features/chat/hc.css | app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css | app/styles/features/service-map/desktop/base.css | app/styles/mobile/foundations.css | app/styles/mobile/modal-surfaces/form-theme.css | app/styles/mobile/scroll-panels/glass-card.css | app/styles/shared/glass-subpage.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css | app/styles/tokens.css,"rgba(14, 20, 32, 0.98) | var(--documents-card-bg) | var(--documents-surface-panel-bg) | var(--documents-glass-surface) | var(--workspace-elevated-card-bg) | var(--btn-primary-bg) | var( --mid-pill-surface-bg, var(--input-flat-bg, var(--input-bg)) ) | radial-gradient( 92% 88% at 50% 16%, rgba(249, 241, 238, 0.56) 0%, rgba(242, 232, 228, 0.48) 42%, rgba(233, 221, 216, 0.42) 100% ), linear-gradient( 180deg, rgba(244, 235, 231, 0.36) 0%, rgba(236, 226, 222, 0.3) 100% ) | var(--mobile-common-glass-surface-bg) | color-mix( in srgb, var(--glass-ring-surface-bg, var(--glass-surface-bg, rgba(0, 0, 0, 0.25))) 74%, rgba(255, 255, 255, 0.1) ) | var(--mid-unified-surface-bg) | var(--mono-input-surface) | linear-gradient(145deg, rgba(255, 255, 255, 0.08), rgba(255, 255, 255, 0.035)), color-mix(in srgb, var(--glass-ring-surface-bg, var(--glass-surface-bg, rgba(0, 0, 0, 0.25))) 64%, transparent) | var(--input-flat-bg) | var(--chat-card-surface-night-standard-bg) | radial-gradient( 82% 66% at 50% 16%, rgba(253, 252, 251, 0.92) 0%, rgba(252, 251, 250, 0.914) 42%, rgba(251, 250, 249, 0.898) 58%, rgba(249, 247, 246, 0.872) 74% ), linear-gradient( 180deg, rgba(252, 251, 250, 0.918) 0%, rgba(249, 248, 247, 0.888) 100% ) | radial-gradient( 92% 88% at 50% 16%, rgba(249, 241, 238, 0.48) 0%, rgba(242, 232, 228, 0.4) 42%, rgba(233, 221, 216, 0.34) 100% ), linear-gradient( 180deg, rgba(244, 235, 231, 0.28) 0%, rgba(236, 226, 222, 0.22) 100% ) | var(--mono-input-surface) !important"
--subpage-card-bg-hover,component-or-semantic,34,18,37,app/styles/features/chat/hc.css | app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css | app/styles/features/service-map/desktop/base.css | app/styles/mobile/foundations.css | app/styles/mobile/modal-surfaces/form-theme.css | app/styles/mobile/scroll-panels/glass-card.css | app/styles/shared/glass-subpage.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css | app/styles/tokens.css,"rgba(14, 20, 32, 0.98) | var(--documents-card-bg) | var(--documents-surface-panel-bg) | color-mix(in srgb, var(--documents-glass-surface) 100%, transparent) | var(--subpage-card-bg) | color-mix(in srgb, var(--documents-surface-panel-bg) 96%, transparent) | var(--documents-glass-surface) | var(--workspace-elevated-card-bg-hover) | var(--btn-primary-bg-hover) | var( --mid-pill-surface-bg-hover, var(--input-flat-bg-hover, var(--input-bg-hover)) ) | radial-gradient( 92% 88% at 50% 16%, rgba(247, 239, 236, 0.54) 0%, rgba(240, 230, 226, 0.46) 44%, rgba(232, 221, 216, 0.4) 100% ), linear-gradient( 180deg, rgba(241, 232, 228, 0.34) 0%, rgba(233, 223, 219, 0.3) 100% ) | var(--mobile-common-glass-surface-bg) | color-mix( in srgb, var(--glass-ring-surface-bg, var(--glass-surface-bg, rgba(0, 0, 0, 0.25))) 68%, rgba(255, 255, 255, 0.14) ) | var(--mid-unified-surface-bg-hover) | var(--mono-input-surface-hover) | var(--input-flat-bg-hover) | radial-gradient( 82% 66% at 50% 16%, rgba(254, 253, 252, 0.944) 0%, rgba(253, 252, 251, 0.938) 42%, rgba(252, 251, 250, 0.918) 58%, rgba(250, 248, 247, 0.888) 74% ), linear-gradient( 180deg, rgba(253, 252, 251, 0.94) 0%, rgba(250, 249, 248, 0.906) 100% ) | radial-gradient( 92% 88% at 50% 16%, rgba(246, 238, 235, 0.43) 0%, rgba(239, 229, 225, 0.36) 44%, rgba(231, 220, 215, 0.3) 100% ), linear-gradient( 180deg, rgba(240, 231, 227, 0.24) 0%, rgba(232, 222, 218, 0.2) 100% )"
--btn-primary-bg-active,component-or-semantic,33,18,7,app/styles/features/chat/analysis-touch-controls.css | app/styles/features/chat/hc.css | app/styles/features/chat/shell.css | app/styles/features/chat/themes.css | app/styles/features/documents/ui.css | app/styles/mobile/interaction-surfaces.css | app/styles/shared/register.css | app/styles/shared/ui-glow.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css | app/styles/tokens.css | components/covision/CovisionPage.module.css | components/ui/BorderGlow.module.css,"var(--btn-primary-bg-hover) | linear-gradient( 0deg, rgba(var(--hc-accent-rgb), 0.07) 0%, rgba(var(--hc-accent-rgb), 0.07) 100% ), radial-gradient( 82% 66% at 50% -14%, rgba(222, 236, 255, 0.13) 0%, rgba(222, 236, 255, 0.055) 42%, rgba(222, 236, 255, 0.017) 58%, rgba(222, 236, 255, 0) 74% ), linear-gradient( 180deg, rgba(28, 38, 53, 0.91) 0%, rgba(18, 27, 42, 0.93) 100% ) | linear-gradient( 0deg, rgba(255, 234, 0, 0.065) 0%, rgba(255, 234, 0, 0.065) 100% ), radial-gradient( 82% 66% at 50% -14%, rgba(222, 236, 255, 0.13) 0%, rgba(222, 236, 255, 0.055) 42%, rgba(222, 236, 255, 0.017) 58%, rgba(222, 236, 255, 0) 74% ), linear-gradient( 180deg, rgba(28, 38, 53, 0.91) 0%, rgba(18, 27, 42, 0.93) 100% ) | radial-gradient( ellipse at top, rgba(42, 48, 58, 0.66) 0%, rgba(20, 24, 31, 0.78) 100% ) | rgba(255, 234, 0, 0.14) | var(--btn-primary-bg) | rgba(255, 234, 0, 0.14) !important | radial-gradient( 82% 66% at 50% -14%, rgba(var(--dark-white-rgb), 0.09) 0%, rgba(var(--dark-white-rgb), 0.038) 42%, rgba(var(--dark-white-rgb), 0.012) 58%, rgba(var(--dark-white-rgb), 0) 74% ), linear-gradient( 180deg, rgba(31, 35, 44, 0.91) 0%, rgba(18, 21, 28, 0.93) 100% ) | rgba(var(--hc-accent-rgb), 0.14) | rgba(var(--hc-accent-rgb), 0.22) | radial-gradient( 82% 66% at 50% -14%, rgba(222, 236, 255, 0.13) 0%, rgba(222, 236, 255, 0.055) 42%, rgba(222, 236, 255, 0.017) 58%, rgba(222, 236, 255, 0) 74% ), linear-gradient( 180deg, rgba(28, 38, 53, 0.91) 0%, rgba(18, 27, 42, 0.93) 100% ) | var(--hc-control-bg-active) | transparent | radial-gradient( 82% 66% at 50% 16%, rgba(252, 251, 250, 0.968) 0%, rgba(250, 249, 248, 0.934) 42%, rgba(247, 246, 245, 0.892) 58%, rgba(243, 242, 241, 0.854) 74% ), linear-gradient( 180deg, rgba(251, 250, 249, 0.96) 0%, rgba(246, 245, 244, 0.932) 100% ) | var(--mid-unified-surface-bg-active) | var(--mono-orbit-surface) | radial-gradient( 84% 72% at 50% -6%, rgba(255, 255, 255, 0.036) 0%, rgba(255, 255, 255, 0.015) 40%, rgba(255, 255, 255, 0.006) 56%, rgba(255, 255, 255, 0.002) 70%, rgba(255, 255, 255, 0.001) 82%, rgba(255, 255, 255, 0) 92% ), linear-gradient( 180deg, rgba(26, 28, 33, 0.9) 0%, rgba(14, 16, 20, 0.95) 100% ) | rgba(255, 234, 0, 0.18)"
--btn-primary-bg-hover,component-or-semantic,32,18,31,app/styles/features/chat/hc.css | app/styles/features/chat/mono.css | app/styles/features/chat/shell.css | app/styles/features/chat/themes.css | app/styles/features/documents/ui.css | app/styles/shared/register.css | app/styles/shared/ui-glow.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css | app/styles/tokens.css | components/covision/CovisionPage.module.css | components/ui/BorderGlow.module.css,"linear-gradient( 0deg, rgba(var(--hc-accent-rgb), 0.045) 0%, rgba(var(--hc-accent-rgb), 0.045) 100% ), radial-gradient( 82% 66% at 50% -14%, rgba(222, 236, 255, 0.135) 0%, rgba(222, 236, 255, 0.06) 42%, rgba(222, 236, 255, 0.02) 58%, rgba(222, 236, 255, 0) 74% ), linear-gradient( 180deg, rgba(31, 42, 58, 0.93) 0%, rgba(19, 30, 46, 0.95) 100% ) | var(--mono-orbit-surface-hover) | linear-gradient( 0deg, rgba(255, 234, 0, 0.045) 0%, rgba(255, 234, 0, 0.045) 100% ), radial-gradient( 82% 66% at 50% -14%, rgba(222, 236, 255, 0.135) 0%, rgba(222, 236, 255, 0.06) 42%, rgba(222, 236, 255, 0.02) 58%, rgba(222, 236, 255, 0) 74% ), linear-gradient( 180deg, rgba(31, 42, 58, 0.93) 0%, rgba(19, 30, 46, 0.95) 100% ) | radial-gradient( ellipse at top, rgba(50, 56, 67, 0.7) 0%, rgba(25, 30, 37, 0.8) 100% ) | rgba(255, 234, 0, 0.12) | rgba(255, 234, 0, 0.12) !important | radial-gradient( 82% 66% at 50% -14%, rgba(var(--dark-white-rgb), 0.14) 0%, rgba(var(--dark-white-rgb), 0.058) 42%, rgba(var(--dark-white-rgb), 0.018) 58%, rgba(var(--dark-white-rgb), 0) 74% ), linear-gradient( 180deg, rgba(44, 48, 58, 0.94) 0%, rgba(27, 31, 39, 0.96) 100% ) | rgba(var(--hc-accent-rgb), 0.12) | rgba(var(--hc-accent-rgb), 0.18) | rgba(var(--hc-accent-rgb), 0.14) | radial-gradient( 82% 66% at 50% -14%, rgba(222, 236, 255, 0.135) 0%, rgba(222, 236, 255, 0.06) 42%, rgba(222, 236, 255, 0.02) 58%, rgba(222, 236, 255, 0) 74% ), linear-gradient( 180deg, rgba(31, 42, 58, 0.93) 0%, rgba(19, 30, 46, 0.95) 100% ) | var(--hc-control-bg-hover) | transparent | radial-gradient( 82% 66% at 50% 16%, rgba(var(--light-white-rgb), 1) 0%, rgba(var(--light-white-rgb), 1) 42%, rgba(var(--light-white-rgb), 0.99) 58%, rgba(253, 251, 250, 0.97) 74% ), linear-gradient( 180deg, rgba(var(--light-white-rgb), 1) 0%, rgba(254, 252, 251, 0.985) 100% ) | radial-gradient( 82% 66% at 50% 16%, rgba(254, 253, 252, 0.996) 0%, rgba(253, 252, 251, 0.994) 42%, rgba(252, 251, 250, 0.982) 58%, rgba(250, 248, 247, 0.956) 74% ), linear-gradient( 180deg, rgba(253, 252, 251, 0.994) 0%, rgba(250, 249, 248, 0.982) 100% ) | var(--mid-unified-surface-bg-hover) | var(--mono-floating-surface-hover) | radial-gradient( 84% 72% at 50% -6%, rgba(255, 255, 255, 0.058) 0%, rgba(255, 255, 255, 0.025) 40%, rgba(255, 255, 255, 0.009) 56%, rgba(255, 255, 255, 0.003) 70%, rgba(255, 255, 255, 0.001) 82%, rgba(255, 255, 255, 0) 92% ), linear-gradient( 180deg, rgba(34, 36, 42, 0.92) 0%, rgba(19, 21, 26, 0.96) 100% )"
--input-bg,component-or-semantic,31,16,40,app/styles/features/chat/hc.css | app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css | app/styles/features/service-map/desktop/base.css | app/styles/mobile/scroll-panels/glass-card.css | app/styles/shared/glass-subpage.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css | app/styles/tokens.css,"var(--chat-card-surface-night-standard-bg) | var(--mono-input-surface) | rgba(14, 20, 32, 0.42) | var(--mid-unified-surface-bg) | var(--documents-elevated-bg) | #000 | var(--mobile-common-glass-surface-bg) | var(--subpage-card-bg) | var(--form-surface) | rgba(14, 16, 22, 0.78) | rgba(9, 14, 24, 0.84) | rgba(9, 14, 24, 0.78) | var(--hc-control-bg) | var(--hc-field-bg) | var(--mono-input-surface) !important | rgba(10, 20, 36, 0.76)"
--input-bg-focus,component-or-semantic,31,16,4,app/styles/features/chat/hc.css | app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css | app/styles/features/service-map/desktop/base.css | app/styles/mobile/scroll-panels/glass-card.css | app/styles/shared/glass-subpage.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css | app/styles/tokens.css,"var(--chat-card-surface-night-standard-flat-bg) | var(--mono-input-surface-hover) | rgba(14, 20, 32, 0.56) | var(--mid-unified-surface-bg-hover) | var(--documents-elevated-bg) | #000 | var(--mobile-common-glass-surface-bg) | var(--subpage-card-bg-hover) | var(--form-surface-active) | rgba(16, 18, 24, 0.88) | rgba(10, 16, 27, 0.94) | rgba(10, 16, 27, 0.88) | var(--hc-control-bg-active) | var(--hc-field-bg-focus) | var(--subpage-card-bg) | rgba(12, 24, 42, 0.86)"
--input-bg-hover,component-or-semantic,31,16,26,app/styles/features/chat/hc.css | app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css | app/styles/features/service-map/desktop/base.css | app/styles/mobile/scroll-panels/glass-card.css | app/styles/shared/glass-subpage.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css | app/styles/tokens.css,"var(--chat-card-surface-night-standard-flat-bg) | var(--mono-input-surface-hover) | rgba(14, 20, 32, 0.5) | var(--mid-unified-surface-bg-hover) | var(--documents-elevated-bg) | #000 | var(--mobile-common-glass-surface-bg) | var(--subpage-card-bg-hover) | var(--form-surface-hover) | rgba(16, 18, 24, 0.84) | rgba(10, 16, 27, 0.9) | rgba(10, 16, 27, 0.84) | var(--hc-control-bg-hover) | var(--hc-field-bg-hover) | var(--subpage-card-bg) | rgba(12, 24, 42, 0.82)"
--btn-primary-shadow-focus,component-or-semantic,20,16,4,app/styles/features/chat/hc.css | app/styles/features/chat/shell.css | app/styles/features/chat/themes.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css | app/styles/tokens.css | components/covision/CovisionPage.module.css,"inset 0 1px 0 rgba(220, 236, 255, 0.16), 0 8px 18px rgba(2, 6, 16, 0.32), 0 0 0 2px rgba(var(--hc-accent-rgb), 0.44) | inset 0 1px 0 rgba(220, 236, 255, 0.16), 0 8px 18px rgba(2, 6, 16, 0.32), 0 0 0 3px rgba(255, 234, 0, 0.42) | 0 0 0 3px rgba(148, 163, 184, 0.14) | inset 0 1px 0 rgba(var(--dark-white-rgb), 0.12), 0 8px 18px rgba(var(--dark-black-rgb), 0.26), 0 0 0 3px var(--btn-primary-focus-ring-color) | inset 0 1px 0 rgba(220, 236, 255, 0.16), 0 8px 18px rgba(2, 6, 16, 0.32), 0 0 0 2px rgba(var(--hc-accent-rgb), 0.5) | 0 0 0 2px rgba(var(--hc-accent-rgb), 0.44) | 0 0 0 2px rgba(var(--hc-accent-rgb), 0.52) | inset 0 1px 0 rgba(220, 236, 255, 0.16), 0 8px 18px rgba(2, 6, 16, 0.32), 0 0 0 2px rgba(var(--hc-accent-rgb), 0.52) | inset 0 1px 0 rgba(var(--light-white-rgb), 0.24), 0 4px 10px rgba(15, 23, 42, 0.11), 0 0 0 3px var(--btn-primary-focus-ring-color), 0 0 0 1px rgba(var(--light-white-rgb), 0.22) | 0 4px 10px rgba(15, 23, 42, 0.11), 0 0 0 3px var(--btn-primary-focus-ring-color) | 0 5px 12px rgba(0, 0, 0, 0.24), 0 0 0 3px var(--btn-primary-focus-ring-color) | 0 8px 18px rgba(38, 24, 22, 0.11), 0 0 0 3px var(--btn-primary-focus-ring-color) | inset 0 1px 0 rgba(214, 214, 214, 0.12), 0 8px 18px rgba(7, 7, 7, 0.32), 0 0 0 3px var(--btn-primary-focus-ring-color) | inset 0 1px 0 rgba(220, 236, 255, 0.16), 0 8px 18px rgba(2, 6, 16, 0.32), 0 0 0 3px var(--btn-primary-focus-ring-color) | inset 0 1px 0 rgba(255, 255, 255, 0.12), inset 0 -1px 0 rgba(5, 6, 9, 0.68), 0 8px 18px rgba(0, 0, 0, 0.26), 0 0 0 3px var(--btn-primary-focus-ring-color) | 0 0 0 3px var(--hc-focus-ring, rgba(188, 220, 255, 0.5))"
--home-panel-bg,feature-alias,18,16,22,app/styles/features/home/desktop.css | app/styles/features/home/mobile.css | app/styles/features/home/themes.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/mono.css | app/styles/theme/night.css,"rgba(16, 19, 24, 0.34) | rgba(244, 241, 237, 0.86) | rgba(203, 190, 186, 0.68) | rgba(9, 18, 30, 0.38) | rgba(12, 17, 27, 0.36) | rgba(16, 19, 24, 0.74) | rgba(244, 241, 237, 0.9) | rgba(203, 190, 186, 0.82) | rgba(9, 18, 30, 0.78) | rgba(12, 17, 27, 0.76) | rgba(251, 249, 246, 0.93) | rgba(203, 190, 186, 0.79) | var(--glass-ring-surface-bg) | rgba(16, 19, 24, 0.84) | rgba(9, 18, 30, 0.86) | rgba(12, 17, 27, 0.86)"
