family,token,tier,file,line,value
btn-primary,--btn-primary-active-brightness,canonical-default,app/styles/tokens.css,122,0.99
btn-primary,--btn-primary-bg,feature-bridge,app/styles/features/chat/hc.css,187,var(--chat-btn-primary-bg)
btn-primary,--btn-primary-bg,feature-bridge,app/styles/features/chat/hc.css,384,var(--chat-btn-primary-bg)
btn-primary,--btn-primary-bg,feature-bridge,app/styles/features/chat/mono.css,260,var(--chat-btn-primary-bg) !important
btn-primary,--btn-primary-bg,feature-bridge,app/styles/features/chat/shell.css,791,var(--chat-btn-primary-bg)
btn-primary,--btn-primary-bg,feature-bridge,app/styles/features/chat/shell.css,860,var(--chat-btn-primary-bg)
btn-primary,--btn-primary-bg,feature-bridge,app/styles/features/chat/shell.css,869,var(--chat-btn-primary-bg)
btn-primary,--btn-primary-bg,feature-bridge,app/styles/features/chat/themes.css,624,var(--chat-btn-primary-bg)
btn-primary,--btn-primary-bg,feature-bridge,app/styles/features/documents/ui.css,605,var(--documents-btn-primary-bg)
btn-primary,--btn-primary-bg,legacy-shared-feature,app/styles/shared/register.css,243,"rgba(255, 234, 0, 0.1)"
btn-primary,--btn-primary-bg,shared-primitive,app/styles/shared/ui-glow.css,592,"rgba(255, 234, 0, 0.1) !important"
btn-primary,--btn-primary-bg,theme-override,app/styles/theme/dark.css,77,"radial-gradient( 82% 66% at 50% -14%, rgba(var(--dark-white-rgb), 0.118) 0%, rgba(var(--dark-white-rgb), 0.048) 42%, rgba(var(--dark-white-rgb), 0.015) 58%, rgba(var(--dark-white-rgb), 0) 74% ), linear-gradient( 180deg, rgba(40, 44, 53, 0.92) 0%, rgba(25, 29, 37, 0.94) 100% )"
btn-primary,--btn-primary-bg,theme-override,app/styles/theme/dark.css,168,"radial-gradient( ellipse at top, rgba(46, 52, 62, 0.64) 0%, rgba(23, 27, 34, 0.76) 100% )"
btn-primary,--btn-primary-bg,theme-override,app/styles/theme/dark.css,218,"radial-gradient( 82% 66% at 50% -14%, rgba(var(--dark-white-rgb), 0.11) 0%, rgba(var(--dark-white-rgb), 0.045) 42%, rgba(var(--dark-white-rgb), 0.014) 58%, rgba(var(--dark-white-rgb), 0) 74% ), linear-gradient( 180deg, rgba(38, 42, 50, 0.92) 0%, rgba(23, 26, 34, 0.94) 100% )"
btn-primary,--btn-primary-bg,theme-override,app/styles/theme/hc.css,435,"radial-gradient( 82% 66% at 50% -14%, rgba(222, 236, 255, 0.108) 0%, rgba(222, 236, 255, 0.048) 42%, rgba(222, 236, 255, 0.016) 58%, rgba(222, 236, 255, 0) 74% ), linear-gradient( 180deg, rgba(26, 35, 49, 0.92) 0%, rgba(16, 25, 39, 0.94) 100% )"
