family,token,tier,file,line,value
form-control,--input-bg,feature-direct-definition,app/styles/features/chat/hc.css,493,var(--chat-card-surface-night-standard-bg)
form-control,--input-bg,feature-bridge,app/styles/features/documents/mono.css,68,var(--mono-input-surface)
form-control,--input-bg,feature-direct-definition,app/styles/features/documents/ui.css,586,"rgba(14, 20, 32, 0.42)"
form-control,--input-bg,feature-direct-definition,app/styles/features/documents/workspace.css,189,var(--mid-unified-surface-bg)
form-control,--input-bg,feature-direct-definition,app/styles/features/documents/workspace.css,510,var(--documents-elevated-bg)
form-control,--input-bg,feature-direct-definition,app/styles/features/documents/workspace.css,557,var(--documents-elevated-bg)
form-control,--input-bg,feature-direct-definition,app/styles/features/service-map/desktop/base.css,623,#000
form-control,--input-bg,shared-primitive,app/styles/mobile/scroll-panels/glass-card.css,71,var(--mobile-common-glass-surface-bg)
form-control,--input-bg,shared-primitive,app/styles/shared/glass-subpage.css,101,var(--subpage-card-bg)
form-control,--input-bg,shared-primitive,app/styles/shared/glass-subpage.css,137,var(--subpage-card-bg)
form-control,--input-bg,shared-primitive,app/styles/shared/glass-subpage.css,153,var(--subpage-card-bg)
form-control,--input-bg,shared-primitive,app/styles/shared/glass-subpage.css,169,var(--subpage-card-bg)
form-control,--input-bg,shared-primitive,app/styles/shared/glass-subpage.css,200,var(--subpage-card-bg)
form-control,--input-bg,theme-override,app/styles/theme/dark.css,38,var(--form-surface)
form-control,--input-bg,theme-override,app/styles/theme/dark.css,196,"rgba(14, 16, 22, 0.78)"
form-control,--input-bg,theme-override,app/styles/theme/hc.css,69,"rgba(9, 14, 24, 0.84)"
form-control,--input-bg,theme-override,app/styles/theme/hc.css,627,var(--form-surface)
form-control,--input-bg,theme-override,app/styles/theme/hc.css,858,"rgba(9, 14, 24, 0.78)"
form-control,--input-bg,theme-override,app/styles/theme/hc.css,1054,var(--form-surface)
form-control,--input-bg,theme-override,app/styles/theme/hc.css,1238,var(--hc-control-bg)
form-control,--input-bg,theme-override,app/styles/theme/hc.css,1816,var(--hc-field-bg)
form-control,--input-bg,theme-override,app/styles/theme/light.css,271,var(--subpage-card-bg)
form-control,--input-bg,theme-override,app/styles/theme/mid.css,368,var(--subpage-card-bg)
form-control,--input-bg,theme-override,app/styles/theme/mid.css,516,var(--mid-unified-surface-bg)
form-control,--input-bg,theme-override,app/styles/theme/mono.css,130,var(--mono-input-surface)
form-control,--input-bg,theme-override,app/styles/theme/mono.css,151,var(--mono-input-surface) !important
form-control,--input-bg,theme-override,app/styles/theme/mono.css,465,var(--form-surface)
form-control,--input-bg,theme-override,app/styles/theme/mono.css,650,var(--form-surface)
form-control,--input-bg,theme-override,app/styles/theme/night.css,60,"rgba(10, 20, 36, 0.76)"
form-control,--input-bg,theme-override,app/styles/theme/night.css,268,var(--form-surface)
form-control,--input-bg,canonical-default,app/styles/tokens.css,149,var(--form-surface)
form-control,--input-bg-focus,feature-direct-definition,app/styles/features/chat/hc.css,495,var(--chat-card-surface-night-standard-flat-bg)
form-control,--input-bg-focus,feature-bridge,app/styles/features/documents/mono.css,70,var(--mono-input-surface-hover)
form-control,--input-bg-focus,feature-direct-definition,app/styles/features/documents/ui.css,588,"rgba(14, 20, 32, 0.56)"
form-control,--input-bg-focus,feature-direct-definition,app/styles/features/documents/workspace.css,191,var(--mid-unified-surface-bg-hover)
form-control,--input-bg-focus,feature-direct-definition,app/styles/features/documents/workspace.css,512,var(--documents-elevated-bg)
form-control,--input-bg-focus,feature-direct-definition,app/styles/features/documents/workspace.css,559,var(--documents-elevated-bg)
form-control,--input-bg-focus,feature-direct-definition,app/styles/features/service-map/desktop/base.css,625,#000
form-control,--input-bg-focus,shared-primitive,app/styles/mobile/scroll-panels/glass-card.css,73,var(--mobile-common-glass-surface-bg)
form-control,--input-bg-focus,shared-primitive,app/styles/shared/glass-subpage.css,103,var(--subpage-card-bg-hover)
