family,token,tier,file,line,value
subpage-card,--subpage-card-bg,feature-bridge,app/styles/features/chat/hc.css,345,var(--chat-subpage-card-bg)
subpage-card,--subpage-card-bg,feature-bridge,app/styles/features/documents/mono.css,58,var(--documents-subpage-card-bg)
subpage-card,--subpage-card-bg,feature-bridge,app/styles/features/documents/ui.css,845,var(--documents-subpage-card-bg)
subpage-card,--subpage-card-bg,feature-bridge,app/styles/features/documents/workspace.css,32,var(--documents-subpage-card-bg)
subpage-card,--subpage-card-bg,feature-bridge,app/styles/features/service-map/desktop/base.css,604,var(--service-map-subpage-card-bg)
subpage-card,--subpage-card-bg,shared-primitive,app/styles/mobile/foundations.css,9,var(--btn-primary-bg)
subpage-card,--subpage-card-bg,shared-primitive,app/styles/mobile/foundations.css,26,"var( --mid-pill-surface-bg, var(--input-flat-bg, var(--input-bg)) )"
subpage-card,--subpage-card-bg,shared-primitive,app/styles/mobile/modal-surfaces/form-theme.css,5,var(--btn-primary-bg)
subpage-card,--subpage-card-bg,shared-primitive,app/styles/mobile/modal-surfaces/form-theme.css,20,"radial-gradient( 92% 88% at 50% 16%, rgba(249, 241, 238, 0.56) 0%, rgba(242, 232, 228, 0.48) 42%, rgba(233, 221, 216, 0.42) 100% ), linear-gradient( 180deg, rgba(244, 235, 231, 0.36) 0%, rgba(236, 226, 222, 0.3) 100% )"
subpage-card,--subpage-card-bg,shared-primitive,app/styles/mobile/scroll-panels/glass-card.css,69,var(--mobile-common-glass-surface-bg)
subpage-card,--subpage-card-bg,shared-primitive,app/styles/shared/glass-subpage.css,91,"color-mix( in srgb, var(--glass-ring-surface-bg, var(--glass-surface-bg, rgba(0, 0, 0, 0.25))) 74%, rgba(255, 255, 255, 0.1) )"
subpage-card,--subpage-card-bg,shared-primitive,app/styles/shared/glass-subpage.css,131,var(--btn-primary-bg)
subpage-card,--subpage-card-bg,shared-primitive,app/styles/shared/glass-subpage.css,147,var(--mid-unified-surface-bg)
subpage-card,--subpage-card-bg,shared-primitive,app/styles/shared/glass-subpage.css,163,var(--mono-input-surface)
subpage-card,--subpage-card-bg,shared-primitive,app/styles/shared/glass-subpage.css,196,"linear-gradient(145deg, rgba(255, 255, 255, 0.08), rgba(255, 255, 255, 0.035)), color-mix(in srgb, var(--glass-ring-surface-bg, var(--glass-surface-bg, rgba(0, 0, 0, 0.25))) 64%, transparent)"
subpage-card,--subpage-card-bg,theme-override,app/styles/theme/dark.css,58,var(--input-flat-bg)
subpage-card,--subpage-card-bg,theme-override,app/styles/theme/dark.css,194,var(--workspace-elevated-card-bg)
subpage-card,--subpage-card-bg,theme-override,app/styles/theme/hc.css,67,var(--workspace-elevated-card-bg)
subpage-card,--subpage-card-bg,theme-override,app/styles/theme/hc.css,1750,var(--chat-card-surface-night-standard-bg)
subpage-card,--subpage-card-bg,theme-override,app/styles/theme/light.css,313,"radial-gradient( 82% 66% at 50% 16%, rgba(253, 252, 251, 0.92) 0%, rgba(252, 251, 250, 0.914) 42%, rgba(251, 250, 249, 0.898) 58%, rgba(249, 247, 246, 0.872) 74% ), linear-gradient( 180deg, rgba(252, 251, 250, 0.918) 0%, rgba(249, 248, 247, 0.888) 100% )"
subpage-card,--subpage-card-bg,theme-override,app/styles/theme/mid.css,587,"radial-gradient( 92% 88% at 50% 16%, rgba(249, 241, 238, 0.48) 0%, rgba(242, 232, 228, 0.4) 42%, rgba(233, 221, 216, 0.34) 100% ), linear-gradient( 180deg, rgba(244, 235, 231, 0.28) 0%, rgba(236, 226, 222, 0.22) 100% )"
subpage-card,--subpage-card-bg,theme-override,app/styles/theme/mono.css,120,var(--mono-input-surface)
subpage-card,--subpage-card-bg,theme-override,app/styles/theme/mono.css,146,var(--mono-input-surface) !important
subpage-card,--subpage-card-bg,theme-override,app/styles/theme/mono.css,723,var(--input-flat-bg)
subpage-card,--subpage-card-bg,theme-override,app/styles/theme/night.css,58,var(--workspace-elevated-card-bg)
subpage-card,--subpage-card-bg,theme-override,app/styles/theme/night.css,168,var(--input-flat-bg)
subpage-card,--subpage-card-bg,canonical-default,app/styles/tokens.css,215,var(--input-flat-bg)
subpage-card,--subpage-card-bg-hover,feature-bridge,app/styles/features/chat/hc.css,346,var(--chat-subpage-card-bg-hover)
subpage-card,--subpage-card-bg-hover,feature-bridge,app/styles/features/documents/mono.css,59,var(--documents-subpage-card-bg-hover)
subpage-card,--subpage-card-bg-hover,feature-bridge,app/styles/features/documents/ui.css,846,var(--documents-subpage-card-bg-hover)
subpage-card,--subpage-card-bg-hover,feature-bridge,app/styles/features/documents/workspace.css,33,var(--documents-subpage-card-bg-hover)
subpage-card,--subpage-card-bg-hover,feature-bridge,app/styles/features/service-map/desktop/base.css,605,var(--service-map-subpage-card-bg-hover)
subpage-card,--subpage-card-bg-hover,shared-primitive,app/styles/mobile/foundations.css,10,var(--btn-primary-bg-hover)
subpage-card,--subpage-card-bg-hover,shared-primitive,app/styles/mobile/foundations.css,30,"var( --mid-pill-surface-bg-hover, var(--input-flat-bg-hover, var(--input-bg-hover)) )"
subpage-card,--subpage-card-bg-hover,shared-primitive,app/styles/mobile/modal-surfaces/form-theme.css,6,var(--btn-primary-bg-hover)
subpage-card,--subpage-card-bg-hover,shared-primitive,app/styles/mobile/modal-surfaces/form-theme.css,32,"radial-gradient( 92% 88% at 50% 16%, rgba(247, 239, 236, 0.54) 0%, rgba(240, 230, 226, 0.46) 44%, rgba(232, 221, 216, 0.4) 100% ), linear-gradient( 180deg, rgba(241, 232, 228, 0.34) 0%, rgba(233, 223, 219, 0.3) 100% )"
subpage-card,--subpage-card-bg-hover,shared-primitive,app/styles/mobile/scroll-panels/glass-card.css,70,var(--mobile-common-glass-surface-bg)
subpage-card,--subpage-card-bg-hover,shared-primitive,app/styles/shared/glass-subpage.css,96,"color-mix( in srgb, var(--glass-ring-surface-bg, var(--glass-surface-bg, rgba(0, 0, 0, 0.25))) 68%, rgba(255, 255, 255, 0.14) )"
subpage-card,--subpage-card-bg-hover,shared-primitive,app/styles/shared/glass-subpage.css,132,var(--btn-primary-bg-hover)
subpage-card,--subpage-card-bg-hover,shared-primitive,app/styles/shared/glass-subpage.css,148,var(--mid-unified-surface-bg-hover)
subpage-card,--subpage-card-bg-hover,shared-primitive,app/styles/shared/glass-subpage.css,164,var(--mono-input-surface-hover)
