name,definitions,distinct_values,top_values
--subpage-card-bg,34,18,var(--documents-surface-panel-bg) [2 files] || var(--workspace-elevated-card-bg) [4 files] || var(--input-flat-bg) [4 files] || var(--btn-primary-bg) [3 files] || var(--documents-card-bg) [2 files]
--subpage-card-bg-hover,34,18,var(--input-flat-bg-hover) [5 files] || var(--subpage-card-bg) [2 files] || var(--workspace-elevated-card-bg-hover) [4 files] || var(--btn-primary-bg-hover) [3 files] || var(--mono-input-surface-hover) [2 files]
--btn-primary-bg,33,19,"radial-gradient( 82% 66% at 50% -14%, rgba(222, 236, 255, 0.108) 0%, rgba(222, 236, 255, 0.048) 42%, rgba(222, 236, 255, 0.016) 58%, rgba(222, 236, 255, 0) 74% ), linear-gradient( 180deg, rgba(26, 35, 49, 0.92) 0%, rgba(16, 25, 39, 0.94) 100% ) [4 files] || rgba(var(--hc-accent-rgb),0.1) [1 files] || var(--mono-orbit-surface) [1 files] || radial-gradient( ellipse at top, rgba(46, 52, 62, 0.64) 0%, rgba(23, 27, 34, 0.76) 100% ) [2 files] || rgba(255, 234, 0, 0.1) !important [2 files]"
--btn-primary-bg-active,33,19,"rgba(var(--hc-accent-rgb),0.14) [1 files] || var(--mono-orbit-surface) [1 files] || linear-gradient( 0deg, rgba(var(--hc-accent-rgb), 0.07) 0%, rgba(var(--hc-accent-rgb), 0.07) 100% ), radial-gradient( 82% 66% at 50% -14%, rgba(222, 236, 255, 0.13) 0%, rgba(222, 236, 255, 0.055) 42%, rgba(222, 236, 255, 0.017) 58%, rgba(222, 236, 255, 0) 74% ), linear-gradient( 180deg, rgba(28, 38, 53, 0.91) 0%, rgba(18, 27, 42, 0.93) 100% ) [1 files] || radial-gradient( ellipse at top, rgba(42, 48, 58, 0.66) 0%, rgba(20, 24, 31, 0.78) 100% ) [2 files] || rgba(255, 234, 0, 0.14) [2 files]"
--btn-primary-bg-hover,32,19,"var(--mono-orbit-surface-hover) [2 files] || rgba(255, 234, 0, 0.12) [3 files] || rgba(var(--hc-accent-rgb),0.12) [1 files] || linear-gradient( 0deg, rgba(var(--hc-accent-rgb), 0.045) 0%, rgba(var(--hc-accent-rgb), 0.045) 100% ), radial-gradient( 82% 66% at 50% -14%, rgba(222, 236, 255, 0.135) 0%, rgba(222, 236, 255, 0.06) 42%, rgba(222, 236, 255, 0.02) 58%, rgba(222, 236, 255, 0) 74% ), linear-gradient( 180deg, rgba(31, 42, 58, 0.93) 0%, rgba(19, 30, 46, 0.95) 100% ) [1 files] || radial-gradient( ellipse at top, rgba(50, 56, 67, 0.7) 0%, rgba(25, 30, 37, 0.8) 100% ) [2 files]"
--input-bg,31,16,var(--subpage-card-bg) [3 files] || var(--form-surface) [5 files] || var(--mono-input-surface) [2 files] || var(--mid-unified-surface-bg) [2 files] || var(--documents-elevated-bg) [1 files]
--input-bg-focus,31,16,var(--form-surface-active) [5 files] || var(--subpage-card-bg-hover) [2 files] || var(--mono-input-surface-hover) [2 files] || var(--mid-unified-surface-bg-hover) [2 files] || var(--documents-elevated-bg) [1 files]
--input-bg-hover,31,16,var(--form-surface-hover) [5 files] || var(--subpage-card-bg-hover) [2 files] || var(--mono-input-surface-hover) [2 files] || var(--mid-unified-surface-bg-hover) [2 files] || var(--documents-elevated-bg) [1 files]
--btn-primary-border-active,29,12,"0 solid transparent [6 files] || 2px solid rgba(var(--hc-accent-rgb),0.95) [1 files] || 2px solid rgba(255, 234, 0, 0.95) [3 files] || var( --btn-primary-border-hover, var(--btn-primary-border) ) [2 files] || 2px solid rgba(var(--hc-accent-rgb), 0.95) [1 files]"
--btn-primary-border,28,11,"0 solid transparent [6 files] || 2px solid rgba(var(--hc-accent-rgb),0.66) [1 files] || 2px solid rgba(255, 234, 0, 0.66) [3 files] || 2px solid rgba(var(--hc-accent-rgb), 0.66) [1 files] || 2px solid rgba(var(--hc-accent-rgb),0.72) [1 files]"
--btn-primary-border-hover,27,12,"0 solid transparent [5 files] || 2px solid rgba(var(--hc-accent-rgb),0.9) [1 files] || 2px solid rgba(255, 234, 0, 0.9) [3 files] || 2px solid rgba(var(--hc-accent-rgb), 0.9) [1 files] || 2px solid rgba(var(--hc-accent-rgb),0.92) [1 files]"
--btn-primary-shadow,24,13,"inset 0 1px 0 rgba(220, 236, 255, 0.1), 0 5px 12px rgba(2, 6, 16, 0.24) [4 files] || none [5 files] || var(--btn-primary-shadow-hover) [1 files] || var(--btn-primary-shadow-active) [1 files] || inset 0 1px 0 rgba(var(--dark-white-rgb), 0.06), 0 5px 12px rgba(var(--dark-black-rgb), 0.2) [1 files]"
--btn-primary-shadow-active,24,12,"inset 0 1px 0 rgba(220, 236, 255, 0.08), 0 4px 10px rgba(2, 6, 16, 0.22) [4 files] || none [5 files] || var(--btn-primary-shadow-hover) [2 files] || var(--btn-primary-shadow) [1 files] || inset 0 1px 0 rgba(var(--dark-white-rgb), 0.05), 0 4px 10px rgba(var(--dark-black-rgb), 0.18) [1 files]"
--btn-primary-shadow-hover,23,11,"inset 0 1px 0 rgba(220, 236, 255, 0.12), 0 7px 14px rgba(2, 6, 16, 0.28) [4 files] || none [5 files] || inset 0 1px 0 rgba(var(--dark-white-rgb), 0.08), 0 7px 14px rgba(var(--dark-black-rgb), 0.24) [1 files] || inset 0 1px 0 rgba(var(--light-white-rgb), 0.28), 0 7px 16px rgba(15, 23, 42, 0.1) [1 files] || 0 6px 13px rgba(15, 23, 42, 0.102) [1 files]"
--input-border,22,14,"1px solid rgba(var(--mono-mid-rgb), 0.16) [2 files] || 0 solid transparent [3 files] || 2px solid rgba(var(--hc-accent-rgb),0.68) [1 files] || 2px solid rgba(255, 234, 0, 0.68) [2 files] || var(--mid-unified-surface-border) [2 files]"
--subpage-card-shadow,21,13,none [4 files] || var(--btn-primary-shadow) [3 files] || var(--documents-soft-shadow) [1 files] || var(--input-shadow) [2 files] || var(--glass-shell-shadow) [1 files]
--panel-secondary-bg,21,11,"var(--btn-primary-bg) [4 files] || transparent [2 files] || var(--workspace-elevated-card-bg, var(--input-flat-bg)) [3 files] || var(--input-flat-bg) [3 files] || var(--documents-panel-bg) [1 files]"
