category,value,count,file_count,example_files
hex,#000,107,16,app/styles/components/selected-listing.css | app/styles/components/workspace-help-listings.css | app/styles/features/chat/shell.css | app/styles/features/home/mobile.css | app/styles/features/policy/pages.css | app/styles/features/policy/responsive.css | app/styles/features/service-map/desktop/base.css | app/styles/features/service-map/desktop/popup.css
hex,#ffea00,92,15,app/styles/components/workspace-help-listings.css | app/styles/features/chat/help-listings-modal-surfaces.css | app/styles/features/chat/shell.css | app/styles/features/service-map/desktop/base.css | app/styles/features/service-map/desktop/popup.css | app/styles/features/service-map/mobile.css | app/styles/shared/glass-core.css | app/styles/shared/ui-glow.css
hex,#c57171,76,30,app/styles/components/journey.css | app/styles/features/chat/mobile-topnav.css | app/styles/features/chat/mobile.css | app/styles/features/chat/themes.css | app/styles/features/documents/workspace.css | app/styles/features/home/desktop.css | app/styles/features/home/mobile.css | app/styles/features/home/themes.css
hex,#7a3a38,33,14,app/styles/features/chat/mobile.css | app/styles/features/chat/themes.css | app/styles/features/documents/workspace.css | app/styles/features/home/themes.css | app/styles/features/service-map/desktop/base.css | app/styles/features/service-map/desktop/toolbar.css | app/styles/shared/glass-core.css | app/styles/shared/login-a11y.css
hex,#2f3a4a,21,4,app/styles/features/chat/themes.css | app/styles/features/register/coarse-pointer.css | app/styles/features/service-map/desktop/base.css | app/styles/theme/mid.css
hex,#1f2937,20,9,app/styles/features/chat/mobile.css | app/styles/features/chat/themes.css | app/styles/features/home/themes.css | app/styles/features/invite/modal-surfaces.css | app/styles/features/service-map/desktop/base.css | app/styles/features/service-map/desktop/leaflet.css | app/styles/features/service-map/desktop/popup.css | app/styles/theme/light.css
hex,#090a0f,17,7,app/styles/base/core.css | app/styles/features/home/background-mobile.css | app/styles/theme/hc.css | app/styles/theme/night.css | components/chat/WorkspacePanel.module.css | components/covision/CovisionPage.module.css | components/ui/PageInfoButton.module.css
hex,#fff,17,4,app/styles/features/chat/mono.css | app/styles/features/service-map/desktop/popup.css | app/styles/theme/mono.css | components/chat/WorkspacePanel.module.css
hex,#f2f2f2,17,11,app/styles/features/chat/shell.css | app/styles/features/home/desktop.css | app/styles/features/service-map/desktop/base.css | app/styles/features/service-map/desktop/shell.css | app/styles/shared/glass-core.css | app/styles/shared/glass-subpage.css | app/styles/shared/ui-glow.css | app/styles/theme/dark.css
hex,#8f3d3d,10,4,app/styles/features/documents/ui.css | app/styles/features/service-map/desktop/base.css | app/styles/features/service-map/desktop/popup.css | components/chat/WorkspacePanel.module.css
hex,#c8c8c8,10,5,app/styles/features/profile/mono.css | app/styles/theme/mono.css | components/chat/WorkspacePanel.module.css | components/chat/rail.module.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
hex,#10151d,9,5,app/styles/base/core.css | app/styles/features/home/mobile-foundations.css | app/styles/features/service-map/desktop/shell.css | app/styles/shared/ui-glow.css | components/covision/CovisionPage.module.css
hex,#8a4b49,9,5,app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css | app/styles/features/service-map/desktop/base.css | app/styles/features/service-map/desktop/pre-inquiry-agent.css | components/chat/WorkspacePanel.module.css
hex,#f4f2ee,8,6,app/styles/base/backgrounds.css | app/styles/base/core.css | app/styles/features/home/background-mobile.css | app/styles/features/home/themes.css | app/styles/features/service-map/desktop/shell.css | app/styles/theme/light.css
hex,#475569,7,2,app/styles/features/service-map/desktop/leaflet.css | app/styles/features/service-map/desktop/popup.css
hex,#e9e6df,6,5,app/styles/base/backgrounds.css | app/styles/base/core.css | app/styles/features/home/background-mobile.css | app/styles/features/home/themes.css | app/styles/theme/light.css
hex,#1b2735,6,4,app/styles/base/core.css | app/styles/features/home/background-mobile.css | app/styles/theme/hc.css | app/styles/theme/night.css
hex,#253246,6,3,components/covision/CovisionPage.module.css | components/ui/PageInfoButton.module.css | components/wellbeing/WellbeingPage.module.css
hex,#f4f7ed,6,1,components/wellbeing/WellbeingPage.module.css
hex,#111827,5,3,app/styles/features/chat/themes.css | app/styles/features/documents/ui.css | app/styles/features/service-map/desktop/popup.css
