selector,type,count,files
.headline,class,0,""
.brand-title,class,0,""
.headline-bold,class,1,"components\HomePage.jsx"
.w3,class,2,"components\alalehed\ChatBody.jsx;components\Space.jsx"
.org,class,3,"components\alalehed\ChatBody.jsx;components\Space.jsx;package-lock.json"
.5,class,26,"app\api\chat\route.js;components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx;components\alalehed\KasutusjuhendBody.jsx;components\alalehed\ProfiilBody.jsx;components\backgrounds\ColorBends.jsx;components\backgrounds\Particles.jsx;components\ChatSidebar.jsx;components\effects\Backgrounds\FloatingLines\FloatingLines.jsx;components\effects\TextAnimations\ShinyText\ShinyText.jsx;components\LoginModal.jsx;components\Space.jsx;components\SplashCursor.jsx;components\ui\SotsiaalAILoader.jsx;docs\RAG_SETUP.md;messages\backup en.json;messages\backup et.json;messages\backup ru.json;messages\en.json;messages\et.json;messages\ru.json;package-lock.json;package.json;rag-service\main.py;temp_et_head.json"
.4,class,34,"app\api\auth\password\reset\route.js;app\api\chat\route.js;app\api\profile\route.js;app\api\register\route.js;app\taasta-parool\[token]\ResetPasswordForm.jsx;components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\alalehed\KasutusjuhendBody.jsx;components\alalehed\ProfiilBody.jsx;components\alalehed\RegistreerimineBody.jsx;components\alalehed\UuendaEpostiBody.jsx;components\backgrounds\ColorBends.jsx;components\backgrounds\Particles.jsx;components\ChatSidebar.jsx;components\effects\Backgrounds\FloatingLines\FloatingLines.jsx;components\effects\Components\Dock\Dock.jsx;components\LoginModal.jsx;components\SplashCursor.jsx;components\TextAnimations\CircularText\CircularText.jsx;components\ui\FancyCheckbox.jsx;components\ui\SotsiaalAILoader.jsx;jsrepo.json;lib\auth\pin-login.js;lib\mailer.js;messages\backup en.json;messages\backup et.json;messages\backup ru.json;messages\en.json;messages\et.json;messages\ru.json;package-lock.json;package.json;rag-service\main.py;temp_et_head.json"
.7,class,26,"app\api\chat\route.js;app\sitemap.js;components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx;components\alalehed\KasutusjuhendBody.jsx;components\alalehed\ProfiilBody.jsx;components\backgrounds\ColorBends.jsx;components\ChatSidebar.jsx;components\effects\Backgrounds\FloatingLines\FloatingLines.jsx;components\LoginModal.jsx;components\Space.jsx;components\SplashCursor.jsx;components\TextAnimations\CircularText\CircularText.jsx;components\ui\SotsiaalAILoader.jsx;jsrepo.json;messages\backup en.json;messages\backup et.json;messages\backup ru.json;messages\en.json;messages\et.json;messages\ru.json;package-lock.json;package.json;rag-service\main.py;temp_et_head.json"
.8,class,33,"app\api\auth\password\reset\route.js;app\api\chat\conversations\[id]\messages\route.js;app\api\chat\conversations\[id]\route.js;app\api\chat\run\route.js;app\api\profile\route.js;app\api\register\route.js;app\taasta-parool\[token]\ResetPasswordForm.jsx;components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx;components\alalehed\ConversationDrawer.jsx;components\alalehed\ProfiilBody.jsx;components\alalehed\RegistreerimineBody.jsx;components\alalehed\UuendaEpostiBody.jsx;components\backgrounds\ColorBends.jsx;components\backgrounds\Particles.jsx;components\ChatSidebar.jsx;components\effects\Backgrounds\FloatingLines\FloatingLines.jsx;components\LoginModal.jsx;components\Space.jsx;components\ui\FancyCheckbox.jsx;components\ui\SotsiaalAILoader.jsx;lib\auth\pin-login.js;messages\backup en.json;messages\backup et.json;messages\backup ru.json;messages\en.json;messages\et.json;messages\ru.json;package-lock.json;package.json;rag-service\main.py;temp_et_head.json"
.2,class,38,".vscode\launch.json;app\api\auth\password\reset\route.js;app\api\chat\route.js;app\api\rag\[...path]\route.js;app\api\register\route.js;components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx;components\alalehed\ConversationDrawer.jsx;components\alalehed\ProfiilBody.jsx;components\Animations\Magnet\Magnet.jsx;components\backgrounds\BackgroundLayer.jsx;components\backgrounds\ColorBends.jsx;components\backgrounds\Particles.jsx;components\ChatSidebar.jsx;components\effects\Backgrounds\FloatingLines\FloatingLines.jsx;components\effects\Components\Dock\Dock.jsx;components\LoginModal.jsx;components\Space.jsx;components\SplashCursor.jsx;components\TextAnimations\CircularText\CircularText.jsx;components\ui\FancyCheckbox.jsx;components\ui\SotsiaalAILoader.jsx;jsrepo.json;lib\auth\pin-login.js;lib\mailer.js;messages\backup en.json;messages\backup et.json;messages\backup ru.json;messages\en.json;messages\et.json;messages\ru.json;middleware.js;package-lock.json;package.json;rag-service\main.py;scripts\unused-css-report.js;temp_et_head.json"
